Gen  110 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  111 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  112 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  113 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  114 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  115 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  116 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  117 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  118 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  119 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  120 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  121 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  122 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  123 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  124 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  125 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  126 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  127 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  128 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  129 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  130 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  131 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  132 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  133 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  134 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  135 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  136 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  137 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  138 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  139 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  140 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  141 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  142 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  143 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  144 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  145 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  146 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  147 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  148 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  149 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  150 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  151 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  152 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  153 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  154 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  155 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  156 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  157 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  158 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  159 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  160 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  161 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  162 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  163 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  164 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  165 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  166 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  167 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  168 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  169 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  170 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  171 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
